stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1587","1587","Cité Judiciaire","Rennes","48.1059146114","-1.6844051266","","","","","","1"
"1588","1588","Jules Maniez","Rennes","48.0980193393","-1.7036943361","","","","","","1"
"1589","1589","Jules Maniez","Rennes","48.0979351981","-1.7039852837","","","","","","1"
"1590","1590","Jules Verne","Rennes","48.0988993030","-1.6935396554","","","","","","1"
"1591","1591","Jules Verne","Rennes","48.0989096732","-1.6936798246","","","","","","1"
"1595","1595","Charles de Gaulle","Rennes","48.1058325053","-1.6773004723","","","","","","1"
"1596","1596","Clotilde Vautier","Rennes","48.1258608250","-1.6684622621","","","","","","2"
"1603","1603","Les Préales","Rennes","48.1132500209","-1.6412865727","","","","","","1"
"1604","1604","Les Préales","Rennes","48.1135506566","-1.6409467282","","","","","","1"
"1605","1605","Pont de Strasbourg","Rennes","48.1101572570","-1.6565086546","","","","","","1"
"1606","1606","Place Hoche","Rennes","48.1156969049","-1.6766989651","","","","","","1"
"1608","1608","Collège Cleunay","Rennes","48.0983313661","-1.7086398038","","","","","","2"
"1609","1609","Tournebride","Rennes","48.1141940216","-1.6364816222","","","","","","1"
"1610","1610","Tournebride","Rennes","48.1140250901","-1.6360818634","","","","","","1"
"1611","1611","Redon","Rennes","48.1054624663","-1.6884216973","","","","","","1"
"1612","1612","Saint-Conwoïon","Rennes","48.1035390186","-1.6884294188","","","","","","1"
"1613","1613","Saint-Conwoïon","Rennes","48.1030122531","-1.6888082691","","","","","","1"
"1614","1614","Assomption","Rennes","48.1219715561","-1.6564887260","","","","","","2"
